k,1agent,4agent_coevol,4agent_attempts_only,4agent_no_sharing
266,1.0000004292,0.9999999381,1.0000025352,1.0000055948
267,1.0000004292,0.9999999381,1.0000025352,1.0000055948
268,1.0000004292,0.9999999381,1.0000025352,1.0000055948
269,1.0000004292,0.9999999381,1.0000025352,1.0000055948
270,1.0000004292,0.9999999381,1.0000025352,1.0000055948
271,1.0000004292,0.9999999381,1.0000025366,1.0000055948
272,1.0000004292,0.9999999381,1.0000025366,1.0000055948
273,1.0000004292,0.9999999381,1.0000025366,1.0000055948
274,1.0000004292,0.9999999381,1.0000025366,1.0000055948
275,1.0000004292,0.9999999381,1.0000025366,1.0000055948
276,1.0000004292,0.9999999381,1.0000025366,1.0000055948
277,1.0000004292,0.9999999381,1.0000025366,1.0000055948
278,1.0000004292,0.9999999381,1.0000025366,1.0000055948
279,1.0000004292,0.9999999381,1.0000025366,1.0000055948
280,1.0000004292,0.9999999381,1.0000025366,1.0000055948
281,1.0000004292,0.9999999448,1.0000025366,1.0000055948
282,1.0000004292,0.9999999448,1.0000025366,1.0000055948
283,1.0000004292,0.9999999448,1.0000025366,1.0000055948
284,1.0000004292,0.9999999448,1.0000025366,1.0000055948
285,1.0000004292,0.9999999448,1.0000025366,1.0000055948
286,1.0000004292,0.9999999448,1.0000025366,1.0000055948
287,1.0000004292,0.9999999448,1.0000025366,1.0000055948
288,1.0000004292,0.9999999448,1.0000025366,1.0000055948
289,1.0000004292,0.9999999448,1.0000025366,1.0000055948
290,1.0000004292,0.9999999448,1.0000025366,1.0000055948
291,1.0000004292,0.9999999448,1.0000025366,1.0000055948
292,1.0000004292,0.9999999448,1.0000025366,1.0000055948
293,1.0000004292,0.9999999448,1.0000025366,1.0000055948
294,1.0000004292,0.9999999448,1.0000025366,1.0000055948
295,1.0000004292,0.9999999448,1.0000025366,1.0000055948
296,1.0000004292,0.9999999448,1.0000025366,1.0000055948
297,1.0000004292,0.9999999448,1.0000025366,1.0000055948
298,1.0000004292,0.9999999448,1.0000025366,1.0000055948
299,1.0000004292,0.9999999448,1.0000025366,1.0000055948
300,1.0000004292,0.9999999448,1.0000025366,1.0000055948
301,1.0000004292,0.9999999467,1.0000025366,1.0000055948
302,1.0000004292,0.9999999467,1.0000025366,1.0000055948
303,1.0000004292,0.9999999467,1.0000025366,1.0000055948
304,1.0000004292,0.9999999467,1.0000025366,1.0000055948
305,1.0000004292,0.9999999467,1.0000025366,1.0000055948
306,1.0000004292,0.9999999467,1.0000025366,1.0000055948
307,1.0000004292,0.9999999467,1.0000025366,1.0000055948
308,1.0000004292,0.9999999467,1.0000025366,1.0000055948
309,1.0000004292,0.9999999467,1.0000025366,1.0000055948
310,1.0000004292,0.9999999467,1.0000025366,1.0000055948
311,1.0000004292,0.9999999467,1.0000025366,1.0000055948
312,1.0000004292,0.9999999467,1.0000025366,1.0000055948
313,1.0000004292,0.9999999467,1.0000025366,1.0000055948
314,1.0000004292,0.9999999467,1.0000025366,1.0000055948
315,1.0000004292,0.9999999467,1.0000025366,1.0000055948
316,1.0000004292,0.9999999467,1.0000025366,1.0000055948
317,1.0000004292,0.9999999467,1.0000025366,1.0000055948
318,1.0000004292,0.9999999467,1.0000025366,1.0000055948
319,1.0000004292,0.9999999467,1.0000025366,1.0000055948
320,1.0000004292,0.9999999467,1.0000025366,1.0000055948
321,1.0000004292,0.9999999467,1.0000025366,1.0000055948
322,1.0000004292,0.9999999467,1.0000025366,1.0000055948
323,1.0000004292,0.9999999467,1.0000025366,1.0000055948
324,1.0000004292,0.9999999467,1.0000025366,1.0000055948
325,1.0000004292,0.9999999467,1.0000025366,1.0000055948
326,1.0000004292,0.9999999467,1.0000025366,1.0000055948
327,1.0000004292,0.9999999467,1.0000025366,1.0000055948
328,1.0000004292,0.9999999467,1.0000025366,1.0000055948
329,1.0000004292,0.9999999467,1.0000025366,1.0000055948
330,1.0000004292,0.9999999467,1.0000025366,1.0000055948
331,1.0000004292,0.9999999467,1.0000025366,1.0000055948
332,1.0000004292,0.9999999467,1.0000025366,1.0000055948
333,1.0000004292,0.9999999467,1.0000025366,1.0000055948
334,1.0000004292,0.9999999467,1.0000025366,1.0000055948
335,1.0000004292,0.9999999467,1.0000025366,1.0000055948
336,1.0000004292,0.9999999467,1.0000025366,1.0000055948
337,1.0000004292,0.9999999467,1.0000025366,1.0000055948
338,1.0000004292,0.9999999467,1.0000025366,1.0000055948
